# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	eggNOG annot
Mcavernosa32316	transmembrane protein 223
Mcavernosa32309	Leukocyte cell-derived chemotaxin 2
Mcavernosa32313	adrenoceptor alpha
Mcavernosa32311	adrenoceptor alpha
Mcavernosa32317	Sodium hydrogen exchanger
Mcavernosa32312	adrenoceptor alpha
Mcavernosa32315	piggyBac transposable element derived 4
Mcavernosa32310	Leukocyte cell-derived chemotaxin 2
Mcavernosa32314	piggyBac transposable element derived 4
Mcavernosa32323	Protein of unknown function (DUF1180)
Mcavernosa32321	G2F domain
Mcavernosa32326	Arylamine N-acetyltransferase
Mcavernosa32319	aminotransferase
Mcavernosa32329	Arylamine N-acetyltransferase
Mcavernosa32320	Tubulin tyrosine ligase-like family, member
Mcavernosa32325	Arylamine N-acetyltransferase
Mcavernosa32327	Arylamine N-acetyltransferase
Mcavernosa32324	thrombospondin-type laminin G domain and EAR repeats
Mcavernosa32334	helicase
Mcavernosa32341	NA
Mcavernosa32331	DEAD H (Asp-Glu-Ala-Asp His) box helicase 11
Mcavernosa32333	DEAD H (Asp-Glu-Ala-Asp His) box helicase 11
Mcavernosa32335	chromosome 11 open reading frame 82
Mcavernosa32339	storkhead box
Mcavernosa32338	member RAS oncogene family
Mcavernosa32337	member RAS oncogene family
Mcavernosa32330	DNA-damage regulated autophagy modulator
Mcavernosa32343	YqaJ-like viral recombinase domain
Mcavernosa32345	NA
Mcavernosa32344	DNA-directed RNA Polymerase
Mcavernosa32347	histone h2a
Mcavernosa32350	eph receptor
Mcavernosa32346	Potassium large conductance calcium-activated channel, subfamily M, alpha member 1
Mcavernosa32352	fibroblast growth factor receptor
Mcavernosa32349	eph receptor
Mcavernosa32353	eph receptor
Mcavernosa32359	NA
Mcavernosa32358	Ring finger protein
Mcavernosa32357	NA
Mcavernosa32356	eph receptor
Mcavernosa32361	NA
Mcavernosa32360	NA
Mcavernosa32366	protein Hydra magnipapillata
Mcavernosa32364	NA
Mcavernosa32373	7 transmembrane receptor (Secretin family)
Mcavernosa32367	NA
Mcavernosa32388	Tnf receptor-associated factor 2
Mcavernosa32377	Sulfotransferase family
Mcavernosa32387	carnitine O-acetyltransferase
Mcavernosa32381	Sulfotransferase family
Mcavernosa32390	Tnf receptor-associated factor 2
Mcavernosa32378	fucosidase, alpha-L
Mcavernosa32379	fucosidase, alpha-L
Mcavernosa32383	monooxygenase activity
Mcavernosa32384	monooxygenase activity
Mcavernosa32386	zinc finger, DHHC-type containing 12
Mcavernosa32392	Cofilin/tropomyosin-type actin-binding protein
Mcavernosa32397	Cell division control protein
Mcavernosa32394	SV2 related protein homolog (rat)
Mcavernosa32400	fibronectin type III and ankyrin repeat domains 1
Mcavernosa32391	Tnf receptor-associated factor 2
Mcavernosa32396	Mediator complex subunit 19
Mcavernosa32405	NA
Mcavernosa32403	RIMS binding protein
Mcavernosa32401	f-box protein 3
Mcavernosa32404	ATH1, acid trehalase-like 1 (yeast)
Mcavernosa32402	RIMS binding protein
Mcavernosa32410	Pyruvate dehydrogenase
Mcavernosa32407	Rab interacting lysosomal protein-like 1
Mcavernosa32408	mediator complex subunit 16
Mcavernosa32414	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
Mcavernosa32418	KH domain containing, RNA binding, signal transduction associated
Mcavernosa32412	Growth-Arrest-Specific Protein 2 Domain
Mcavernosa32413	Growth-Arrest-Specific Protein 2 Domain
Mcavernosa32417	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
Mcavernosa32415	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
Mcavernosa32422	Fumarylacetoacetase
Mcavernosa32421	Growth-Arrest-Specific Protein 2 Domain
Mcavernosa32423	NA
Mcavernosa32430	receptor, type
Mcavernosa32431	Protein tyrosine phosphatase, non-receptor type
Mcavernosa32443	TNF receptor-associated factor
Mcavernosa32429	fibroblast growth factor
Mcavernosa32445	Inherit from euNOG: solute carrier family 17
Mcavernosa32444	Pao retrotransposon peptidase 
Mcavernosa32454	dynein, axonemal, heavy chain
Mcavernosa32456	Dynein, axonemal, heavy chain 7
Mcavernosa32455	dynein, axonemal, heavy chain 7
Mcavernosa32465	NA
Mcavernosa32474	ANK
Mcavernosa32476	XK, Kell blood group complex subunit-related family, member
Mcavernosa32475	XK, Kell blood group complex subunit-related family, member
Mcavernosa32471	synthetase
Mcavernosa32479	serum glucocorticoid regulated kinase
Mcavernosa32480	serum glucocorticoid regulated kinase
Mcavernosa32478	PIH1 domain containing
Mcavernosa32473	ANK
Mcavernosa32495	SCP
Mcavernosa32491	DNA primase large subunit
Mcavernosa32482	integrator complex subunit 2
Mcavernosa32494	NA
Mcavernosa32492	lysosomal cobalamin transporter. Required to export cobalamin from lysosomes allowing its conversion to cofactors (By similarity)
Mcavernosa32486	kruppel-like factor
Mcavernosa32484	Meckel syndrome, type 1
Mcavernosa32485	ornithine decarboxylase
Mcavernosa32489	SCP
Mcavernosa32502	glutathione gammaglutamylcysteinyltransferase
Mcavernosa32498	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
Mcavernosa32505	Zinc finger protein
Mcavernosa32501	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa32504	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Mcavernosa32503	failed axon connections homolog (Drosophila)
Mcavernosa32500	Chromosome 6 open reading frame 62
Mcavernosa32507	Signal peptide, CUB domain, EGF-like
Mcavernosa32497	Solute carrier family 2 (Facilitated glucose transporter) member
Mcavernosa32496	NA
Mcavernosa32506	acid-sensing (proton-gated) ion channel
Mcavernosa18170	Zinc finger protein
Mcavernosa18169	Calcium-binding EGF domain
Mcavernosa18178	Berardinelli-Seip congenital lipodystrophy 2 (seipin)
Mcavernosa18182	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
Mcavernosa18181	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
Mcavernosa18183	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
Mcavernosa18184	receptor
Mcavernosa18187	chromosome 20 open reading frame 26
Mcavernosa18186	chromosome 20 open reading frame 26
Mcavernosa18188	Low density lipoprotein receptor-related protein
Mcavernosa18193	Nucleoside-triphosphatase, cancer-related
Mcavernosa18192	leucine rich repeat containing 57
Mcavernosa18194	leucine rich repeat containing 57
Mcavernosa18204	Progestin and adipoQ receptor family member
Mcavernosa18206	Anoctamin
Mcavernosa18197	tetratricopeptide repeat domain 36
Mcavernosa18211	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa18213	ribokinase
Mcavernosa18207	Anoctamin
Mcavernosa18214	sulfatase modifying factor 2
Mcavernosa18209	sulfatase modifying factor 2
Mcavernosa18208	REV1, polymerase (DNA directed)
Mcavernosa18210	Leucine rich repeat containing 23
Mcavernosa18215	Leucine rich repeat containing 23
Mcavernosa18212	polyhomeotic homolog
Mcavernosa18223	NA
Mcavernosa18224	heparan sulfate proteoglycan 2
Mcavernosa18220	Phenylalanyl-tRNA synthetase, beta
Mcavernosa18226	heparan sulfate proteoglycan 2
Mcavernosa18225	heparan sulfate proteoglycan 2
Mcavernosa18218	short chain dehydrogenase reductase family 42E, member 1
Mcavernosa18242	NA
Mcavernosa18240	NA
Mcavernosa18254	Tubulin folding cofactor E-like
Mcavernosa18247	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide
Mcavernosa18250	Protein tyrosine phosphatase, mitochondrial 1
Mcavernosa18257	Tubulin folding cofactor E-like
Mcavernosa18256	Tubulin folding cofactor E-like
Mcavernosa18267	actin-related protein
Mcavernosa18264	smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)
Mcavernosa18261	THAP
Mcavernosa18265	pregnancy-associated plasma protein A, pappalysin 1
Mcavernosa18271	tRNA methyltransferase 10 homolog
Mcavernosa18263	YqaJ-like viral recombinase domain
Mcavernosa18277	kelch-like
Mcavernosa18279	ribosomal protein
Mcavernosa18278	activating signal cointegrator 1 complex subunit
Mcavernosa18283	clathrin light chain
Mcavernosa18272	beta' subunit
Mcavernosa18282	X-prolyl aminopeptidase (aminopeptidase P) 3
Mcavernosa18280	WD repeat domain 46
Mcavernosa18273	suppressor of cancer cell invasion
Mcavernosa18281	ankyrin repeat
Mcavernosa18294	Transmembrane protein 115
Mcavernosa18295	zinc finger
Mcavernosa18284	Helicase with zinc finger
Mcavernosa18292	Helicase with zinc finger
Mcavernosa18285	Helicase with zinc finger
Mcavernosa18298	Far upstream element (FUSE) binding protein
Mcavernosa18304	SH3-domain GRB2-like endophilin
Mcavernosa18302	Inherit from KOG: Retrotransposon protein
Mcavernosa18297	Aminotransferase class I and II
Mcavernosa18296	syntaxin binding protein
Mcavernosa18301	outer dense fiber of sperm tails 2
Mcavernosa18305	solute carrier family 18, subfamily B, member 1
Mcavernosa18309	NA
Mcavernosa18311	testis expressed 26
Mcavernosa18319	Inherit from NOG: Conserved hypothetical, protein
Mcavernosa18320	Nedd4 family interacting protein
Mcavernosa18325	family with sequence similarity 114, member
Mcavernosa18323	D-arabinono-1,4-lactone oxidase 
Mcavernosa18316	Inherit from NOG: Conserved hypothetical, protein
Mcavernosa18313	Inherit from NOG: Conserved hypothetical, protein
Mcavernosa18321	D-arabinono-1,4-lactone oxidase 
Mcavernosa18327	D-arabinono-1,4-lactone oxidase 
Mcavernosa18326	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)
Mcavernosa18338	NA
Mcavernosa18353	Phosphatidylinositol4,5-bisphosphate 3-kinase catalytic subunit
Mcavernosa18350	WD repeat domain 70
Mcavernosa18343	family with sequence similarity 132, member
Mcavernosa18345	WD repeat domain 70
Mcavernosa18359	oncogene
Mcavernosa18358	centrosomal protein 19kDa
Mcavernosa18360	rho guanine nucleotide exchange factor
Mcavernosa18364	Nephronophthisis 4
Mcavernosa18368	Adaptor-related protein complex 2, mu 1 subunit
Mcavernosa18372	UPF0392 protein
Mcavernosa18370	scavenger receptor class B, member
Mcavernosa18369	Inherit from NOG: Plant protein of unknown function (DUF946)
Mcavernosa18374	ATP-binding cassette, sub-family G (WHITE), member
Mcavernosa18367	Nephronophthisis 4
Mcavernosa18371	(Alpha (1,3) fucosyltransferase
Mcavernosa18373	26S protease regulatory subunit
Mcavernosa18396	DIX domain containing 1
Mcavernosa18381	glycosylphosphatidylinositol specific phospholipase D1
Mcavernosa18394	Endothelin converting enzyme
Mcavernosa18385	OAF homolog (Drosophila)
Mcavernosa18390	chondroitin sulfate
Mcavernosa18383	NA
Mcavernosa18382	Pbx knotted 1 homeobox
Mcavernosa18392	solute carrier family 39 (zinc transporter), member
Mcavernosa18402	serine threonine protein kinase
Mcavernosa18398	solute carrier family 39 (zinc transporter), member
Mcavernosa18399	PR domain containing 14
Mcavernosa18404	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
Mcavernosa18400	nitrilase
Mcavernosa18417	Pfam:Cut8
Mcavernosa18405	NA
Mcavernosa18416	kiaa1407
Mcavernosa18419	Ectonucleoside triphosphate diphosphohydrolase
Mcavernosa18410	Dynein, axonemal heavy chain
Mcavernosa18406	NA
Mcavernosa18407	Dynein heavy chain, N-terminal region 1
Mcavernosa18415	dynein, axonemal, heavy chain
Mcavernosa18412	Dynein, axonemal, heavy chain
Mcavernosa18414	Dynein, axonemal, heavy chain
Mcavernosa18421	myeloid differentiation primary response
Mcavernosa18423	caspase 9, apoptosis-related cysteine peptidase
Mcavernosa18437	phosphatidylinositol-4-phosphate 5-kinase
Mcavernosa18426	importin subunit alpha
Mcavernosa18429	Rho GTPase activating protein 27
Mcavernosa18433	Rho GTPase activating protein 12
Mcavernosa18427	importin subunit alpha
Mcavernosa18438	STT3, subunit of the oligosaccharyltransferase complex, homolog
Mcavernosa18430	importin subunit alpha
Mcavernosa18428	Rho gtpase activating protein
Mcavernosa18439	williams Beuren syndrome chromosome region
Mcavernosa18441	to tyrosine kinase receptor
Mcavernosa18442	Fibroblast growth factor receptor
Mcavernosa18440	Fibroblast growth factor receptor
Mcavernosa18445	mannose receptor, C type
Mcavernosa18444	NA
Mcavernosa18454	DnaJ (Hsp40) homolog, subfamily C, member 21
Mcavernosa18463	Inherit from opiNOG: EF hand domain protein
Mcavernosa18458	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1 (By similarity)
Mcavernosa18459	DNA-directed RNA Polymerase
Mcavernosa18457	coiled-coil domain containing 39
Mcavernosa18453	chromosome 17 open reading frame 105
Mcavernosa18460	mcf.2 cell line derived transforming sequence-like
Mcavernosa18455	adaptor-related protein complex 1 sigma
Mcavernosa18464	Poly (ADP-ribose) glycohydrolase
Mcavernosa18470	importin
Mcavernosa18469	importin
Mcavernosa18466	importin
Mcavernosa18480	beta 1,3-galactosyltransferase-like
Mcavernosa18474	down syndrome cell adhesion molecule
Mcavernosa18489	beta 1,3-galactosyltransferase-like
Mcavernosa18492	beta 1,3-galactosyltransferase-like
Mcavernosa18494	Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein- mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for
Mcavernosa18487	XK, Kell blood group complex subunit-related family, member
Mcavernosa18490	Heme binding protein 2
Mcavernosa18493	Heme binding protein 2
Mcavernosa18495	WD repeat domain 66
Mcavernosa18482	ribosomal protein S6 kinase
Mcavernosa18481	F-box protein 22
Mcavernosa18502	X-ray repair complementing defective repair in Chinese hamster cells 1
Mcavernosa18496	WD repeat domain 66
Mcavernosa18497	Kinesin family member
Mcavernosa18509	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa18507	NA
Mcavernosa18515	Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
Mcavernosa18513	Tuberous sclerosis 1
Mcavernosa18510	NA
Mcavernosa18514	HD domain-containing protein
Mcavernosa18517	adaptor-related protein complex 3, mu
Mcavernosa18521	F-box and leucine-rich repeat protein 6
Mcavernosa18524	tetratricopeptide repeat domain 28
Mcavernosa18533	cyclin D binding myb-like transcription factor 1
Mcavernosa18529	BCL-2-associated athanogene 6
Mcavernosa18528	F-box and WD repeat domain containing 5
Mcavernosa18522	Plays a central role during spermatogenesis by repressing transposable elements and prevent their mobilization, which is essential for the germline integrity. Acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and govern the methylation and subsequent repression of transposons. Its association with pi-bodies suggests a participation in the primary piRNAs metabolic process. Required prior to the pachytene stage to facilitate the production of multiple types of piRNAs, including those associated with repeats involved in regulation of retrotransposons. May act by mediating protein-protein interactions during germ cell maturation
Mcavernosa18525	Tetratricopeptide repeat
Mcavernosa18531	YqaJ-like viral recombinase domain
Mcavernosa18526	tetratricopeptide repeat domain 28
Mcavernosa18535	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa18537	uridine kinase
Mcavernosa18534	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa18538	F-box and leucine-rich repeat protein 6
Mcavernosa18536	FAD-dependent oxidoreductase domain containing 1
Mcavernosa18558	N-deacetylase N-sulfotransferase (Heparan glucosaminyl)
Mcavernosa18559	N-deacetylase N-sulfotransferase (Heparan glucosaminyl)
Mcavernosa18543	ubiquitin specific peptidase
Mcavernosa18547	thioredoxin domain containing 15
Mcavernosa18549	RalA binding protein 1
Mcavernosa18548	chromosome 4 open reading frame 47
Mcavernosa18542	spermatogenesis associated
Mcavernosa18541	spermatogenesis associated
Mcavernosa18545	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide
Mcavernosa18555	NA
Mcavernosa18562	adrenoceptor beta
Mcavernosa18563	solute carrier family 22
Mcavernosa18565	Growth factor receptor
Mcavernosa18569	mediator complex subunit 30
Mcavernosa18560	N-deacetylase N-sulfotransferase (Heparan glucosaminyl)
Mcavernosa18568	solute carrier family 22
Mcavernosa18567	hepatocyte growth factor (hepapoietin A
Mcavernosa18570	bone morphogenetic protein
Mcavernosa18578	G protein-coupled receptor 98
Mcavernosa18576	family member
Mcavernosa18573	sepiapterin reductase (7,8-dihydrobiopterin NADP oxidoreductase)
Mcavernosa18581	myelin expression factor 2
Mcavernosa18580	serine threonine-protein kinase
Mcavernosa18583	26S proteasome, non-ATPase regulatory subunit
Mcavernosa18575	collagen, type IV, alpha
Mcavernosa18584	amine oxidase
Mcavernosa18585	NA
Mcavernosa18590	TNF receptor-associated factor 6, E3 ubiquitin protein ligase
Mcavernosa18587	RNA 3-terminal phosphate
Mcavernosa18593	NAD-dependent lysine demalonylase and desuccinylase that specifically removes malonyl and succinyl groups on target proteins. Has weak NAD-dependent protein deacetylase activity
Mcavernosa18597	6-phosphogluconolactonase
Mcavernosa18595	family with sequence similarity 92, member A1
Mcavernosa18598	Charged multivesicular body protein
Mcavernosa18596	RNA binding motif protein
Mcavernosa18594	epithelial splicing regulatory protein
Mcavernosa18592	DEAD (Asp-Glu-Ala-Asp) box helicase 1
Mcavernosa18606	TNF receptor-associated factor 6, E3 ubiquitin protein ligase
Mcavernosa18613	Cyclin-Dependent Kinase
Mcavernosa18610	frataxin
Mcavernosa18621	Metaxin 3
Mcavernosa18619	Lamin A C
Mcavernosa18616	Lamin A C
Mcavernosa18611	dyslexia susceptibility 1 candidate 1
Mcavernosa18628	Paired box
Mcavernosa18608	ubiquitin associated protein
Mcavernosa18623	Tachykinin receptor
Mcavernosa18622	receptor
Mcavernosa18625	Paired box
Mcavernosa18627	Paired box
Mcavernosa18632	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
Mcavernosa18635	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
Mcavernosa18630	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
Mcavernosa18641	protein kinase c
Mcavernosa18642	Transmembrane channel-like
Mcavernosa18640	protein kinase c
Mcavernosa18639	protein kinase C
Mcavernosa18643	Transmembrane channel-like
Mcavernosa18652	ectonucleotide pyrophosphatase phosphodiesterase
Mcavernosa18646	EBNA1 binding protein 2
Mcavernosa18648	transmembrane protein 66
Mcavernosa18653	ectonucleotide pyrophosphatase phosphodiesterase
Mcavernosa18654	centromere protein P
Mcavernosa18650	ectonucleotide pyrophosphatase phosphodiesterase
Mcavernosa18651	ectonucleotide pyrophosphatase phosphodiesterase
Mcavernosa18658	Hydroxysteroid dehydrogenase like 2
Mcavernosa18655	Hydroxysteroid dehydrogenase like 2
Mcavernosa18668	down syndrome cell adhesion molecule
Mcavernosa18666	von Willebrand factor type A domain
Mcavernosa18663	phosphatidic acid phosphatase type
Mcavernosa18675	Sodium channel voltage-gated type
Mcavernosa18672	Sodium channel voltage-gated type
Mcavernosa18670	Sodium channel, voltage-gated, type
Mcavernosa18673	Sodium channel, voltage-gated, type
Mcavernosa18677	down syndrome cell adhesion molecule
Mcavernosa18678	sidekick cell adhesion molecule 2
Mcavernosa18682	sidekick cell adhesion molecule 2
Mcavernosa18681	)-reductase
Mcavernosa18685	NA
Mcavernosa18689	Sprouty-related, EVH1 domain containing
Mcavernosa18695	26S protease regulatory subunit
Mcavernosa18693	RNA binding motif protein
Mcavernosa18686	NA
Mcavernosa18687	NA
Mcavernosa18699	mitogen-activated protein kinase kinase kinase
Mcavernosa18701	Regulator of G-protein signaling
Mcavernosa18703	Pfam:Transposase_Tc5
Mcavernosa18691	Sprouty-related, EVH1 domain containing
Mcavernosa18696	Astacin (Peptidase family M12A)
Mcavernosa18697	Astacin (Peptidase family M12A)
Mcavernosa18714	ARP3 actin-related protein 3 homolog
Mcavernosa18712	double zinc ribbon and ankyrin repeat domains 1
Mcavernosa18711	PHOsphatase
Mcavernosa18707	Squamous cell carcinoma antigen recognized by T cells
Mcavernosa18718	guanine nucleotide exchange factor
Mcavernosa18717	Cysteine desulfurase
Mcavernosa18716	Cysteine desulfurase
Mcavernosa18729	DnaJ domain
Mcavernosa18726	NA
Mcavernosa18727	thioredoxin-related transmembrane protein 3
Mcavernosa18721	DnaJ (Hsp40) homolog, subfamily C, member 13
Mcavernosa18724	transmembrane protein 63C
Mcavernosa18735	death-associated protein
Mcavernosa18738	mitogen-activated protein kinase kinase kinase kinase
Mcavernosa18732	Filamin C, gamma
Mcavernosa18739	Myosin VIIA
Mcavernosa18733	NA
Mcavernosa18743	Transcription factor
Mcavernosa18744	Transcription factor
Mcavernosa18748	Transcription factor
Mcavernosa18745	GTP-binding protein
Mcavernosa18747	GTP-binding protein
Mcavernosa18758	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Mcavernosa18751	DIS3 mitotic control homolog (S
Mcavernosa18757	SYNtaxin
Mcavernosa18753	Tetratricopeptide repeat protein
Mcavernosa18756	Numb homolog
Mcavernosa18752	intraflagellar transport 43 homolog (Chlamydomonas)
Mcavernosa18749	protein phosphatase 1, regulatory subunit 21
Mcavernosa18768	to tyrosine kinase receptor
Mcavernosa18762	suppressor of cytokine signaling
Mcavernosa18767	NA
Mcavernosa18770	Phosphatidylinositol 4-kinase
Mcavernosa18771	poly (ADP-ribose) polymerase family, member 12
Mcavernosa18759	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Mcavernosa18763	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase
Mcavernosa18760	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Mcavernosa18764	Heat shock 70kDa protein 5 (Glucose-regulated protein, 78kDa)
Mcavernosa18765	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase
Mcavernosa18766	will die slowly
Mcavernosa18780	ubiquitin-like modifier activating enzyme 6
Mcavernosa18773	Aldehyde dehydrogenase 1 family, member
Mcavernosa18783	NA
Mcavernosa18774	Aldehyde dehydrogenase
Mcavernosa18776	Aldehyde dehydrogenase 1 family, member
Mcavernosa18772	Aldehyde dehydrogenase 1 family, member
Mcavernosa18785	NA
Mcavernosa18790	NA
Mcavernosa18797	TBC1 domain family, member 19
Mcavernosa18806	Kinesin family member
Mcavernosa18807	NA
Mcavernosa18810	immunoglobulin superfamily member
Mcavernosa18801	NA
Mcavernosa18811	heparan sulfate proteoglycan 2
Mcavernosa18809	immunoglobulin superfamily DCC subclass member 3
Mcavernosa18808	Ficolin (Collagen fibrinogen domain containing)
Mcavernosa18814	alkB, alkylation repair homolog 8 (E. coli)
Mcavernosa18813	kelch-like 8 (Drosophila)
Mcavernosa18805	SH3 domain containing ring finger 3
Mcavernosa18812	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)
Mcavernosa18803	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
Mcavernosa18816	May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity (By similarity)
Mcavernosa18822	NA
Mcavernosa18824	NA
Mcavernosa18826	NA
Mcavernosa18820	NA
Mcavernosa18829	piggyBac transposable element derived 4
Mcavernosa18831	integrase core domain protein
Mcavernosa18834	NA
Mcavernosa18840	PAS domain protein
Mcavernosa18837	Hydra magnipapillata
Mcavernosa18838	Inhibitor of growth family member
Mcavernosa18841	BTB (Broad complex Tramtrack Bric a brac) domain protein family member
Mcavernosa18842	BTB (Broad complex Tramtrack Bric a brac) domain protein family member
Mcavernosa18843	Egl nine homolog
Mcavernosa18844	Zinc finger, NFX1-type containing 1
Mcavernosa18847	Zinc finger, NFX1-type containing 1
Mcavernosa18845	Zinc finger, NFX1-type containing 1
Mcavernosa18848	Zinc finger, NFX1-type containing 1
Mcavernosa18850	Sea anemone cytotoxic protein
Mcavernosa18849	Sea anemone cytotoxic protein
Mcavernosa18854	Sea anemone cytotoxic protein
Mcavernosa18852	Sea anemone cytotoxic protein
Mcavernosa18853	Sea anemone cytotoxic protein
Mcavernosa18856	Zinc finger, NFX1-type containing 1
Mcavernosa18855	Sea anemone cytotoxic protein
Mcavernosa18862	spermatogenesis associated 17
Mcavernosa18861	dual specificity phosphatase 10
Mcavernosa18860	Ubox domain-containing protein
Mcavernosa18874	Inherit from KOG: leucine rich repeat containing
Mcavernosa18867	HtrA serine peptidase
Mcavernosa18863	forkhead box N3
Mcavernosa18873	ATP-binding cassette, sub-family G (WHITE), member
Mcavernosa18871	NA
Mcavernosa18879	pectinacetylesterase
Mcavernosa18877	EFh
Mcavernosa18882	Globin
Mcavernosa18884	Globin
Mcavernosa18880	ATP-binding cassette, sub-family G (WHITE), member
Mcavernosa18876	RhoGEF domain
Mcavernosa18875	acyl-CoA synthetase family member 3
Mcavernosa18883	Globin
Mcavernosa18887	to astacin family metalloendopeptidase FARM-1 Hydra magnipapillata 
Mcavernosa18892	protein Hydra magnipapillata
Mcavernosa18896	KRI1 homolog (S. cerevisiae)
Mcavernosa18889	ATPase, H transporting, lysosomal 21kDa, V0 subunit b
Mcavernosa18899	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase
Mcavernosa18900	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase
Mcavernosa18891	protein Hydra magnipapillata
Mcavernosa18893	phosphatidylinositol glycan anchor biosynthesis, class G
Mcavernosa18895	KRI1 homolog (S. cerevisiae)
Mcavernosa18901	NA
Mcavernosa18916	Sodium leak channel, non-selective
Mcavernosa18908	phosphatidic acid phosphatase type
Mcavernosa18913	Ras-related protein
Mcavernosa18912	R3H domain containing 4
Mcavernosa18910	Epidermal growth factor receptor pathway substrate
Mcavernosa18907	Hydra magnipapillata
Mcavernosa18914	RB1-inducible coiled-coil 1
Mcavernosa18915	Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity)
Mcavernosa18921	pancreatic
Mcavernosa18935	leucine rich repeat containing 31
Mcavernosa18936	Transmembrane channel-like
Mcavernosa18943	Inherit from KOG: Retrotransposon protein
Mcavernosa18937	PotAssium voltage-gated channel
Mcavernosa18941	PHOsphatase
Mcavernosa18944	COMM domain containing 3
Mcavernosa18939	Universal stress protein
Mcavernosa18938	PotAssium voltage-gated channel
Mcavernosa18942	Universal stress protein
Mcavernosa18951	Polycomb group ring finger
Mcavernosa18954	williams Beuren syndrome chromosome region
Mcavernosa18946	Polycomb group ring finger
Mcavernosa18947	Polycomb group ring finger
Mcavernosa18953	grancalcin, EF-hand calcium binding protein
Mcavernosa18957	dopamine receptor
Mcavernosa18969	Male sterility protein
Mcavernosa18962	williams Beuren syndrome chromosome region
Mcavernosa18971	Male sterility protein
Mcavernosa18960	williams Beuren syndrome chromosome region
Mcavernosa18965	UnCoupling Protein
Mcavernosa18961	williams Beuren syndrome chromosome region
Mcavernosa18970	Male sterility protein
Mcavernosa18972	NA
Mcavernosa18963	NA
Mcavernosa18976	NA
Mcavernosa18979	26S Proteasome non-ATPase regulatory subunit
Mcavernosa18973	NA
Mcavernosa18978	Intraflagellar transport 57 homolog (Chlamydomonas)
Mcavernosa18977	Short stature homeobox
Mcavernosa18974	NA
Mcavernosa18980	Tetratricopeptide repeat domain 12
Mcavernosa18982	ddb1 and cul4 associated factor
Mcavernosa18983	RNA binding motif protein 7
Mcavernosa18987	NA
Mcavernosa18985	immunoglobulin superfamily member
